action_mode,belief_mode,config,total_scenarios,successful,success_rate,avg_convergence_rate,std_convergence_rate,median_convergence_rate,avg_convergence_rate_successful,std_convergence_rate_successful,avg_convergence_step,std_convergence_step,median_convergence_step,avg_execution_time,total_execution_time,avg_visibility_ratio,avg_visibility_changes,avg_final_confidence,avg_max_confidence,avg_cache_hit_rate
greedy,bayesian,greedy_bayesian,1535,1118,0.7283387622149837,0.30180144829935973,0.27230537223362544,0.26666666666666666,0.41436960924822647,0.23486696834391987,8.44454382826476,5.544324666250325,7.0,0.37860910170241363,581.164971113205,0.5196299180634197,1.9602605863192182,0.7861369862268229,0.8007007572856916,0.5222285277237652
greedy,optimal,greedy_optimal,1535,865,0.5635179153094463,0.2517380470720858,0.2923759744878071,0.14285714285714285,0.4467258985614471,0.2541464213503885,7.375722543352601,5.151511169582777,6.0,0.27882410695576126,427.9950041770935,0.45070728302063684,2.3087947882736155,0.8503862560784345,0.8556520388128849,0.0
stay,bayesian,stay_bayesian,1535,613,0.3993485342019544,0.18622335743587504,0.27108183282707865,0.0,0.4663178689462775,0.2310844436714333,6.642740619902121,3.8298706005032286,6.0,1.971875071447913,3026.8282346725464,0.25790868209294493,0.9543973941368078,0.5967044826532863,0.6038832281463702,0.7711315612551182
random,bayesian,random_bayesian,1535,574,0.3739413680781759,0.15981097710158976,0.25257483771268585,0.0,0.42736907639536637,0.2371771692085145,7.7386759581881535,4.659581019470807,7.0,0.5428197532989303,833.228321313858,0.17145578092366467,1.5342019543973942,0.5877837391868321,0.5981811349768323,0.7593854555319057
stay,optimal,stay_optimal,1535,569,0.3706840390879479,0.1711489124542209,0.2674341303071913,0.0,0.46171103799161534,0.24246152804795135,6.525483304042179,3.725124180766693,6.0,0.1322828120439759,203.05411648750302,0.25790868209294493,0.9543973941368078,0.6600993913256141,0.6607981946614502,0.0
random,optimal,random_optimal,1535,518,0.33745928338762216,0.14585261751029688,0.2472181717614801,0.0,0.4322080460971153,0.2394652715203983,7.523166023166024,4.233791942482324,7.0,0.12149884335769502,186.50072455406186,0.1718480216150729,1.5504885993485342,0.6423937732731063,0.6446715800658843,0.0
greedy,uniform,greedy_uniform,1535,17,0.011074918566775244,0.002881764754728924,0.03108456831295022,0.0,0.26020640579464116,0.1424401845378758,15.058823529411764,8.104555726837331,13.0,0.30916665974968033,474.5708227157593,0.5133876200679944,1.6260586319218242,0.3532995941219838,0.353679137424925,0.0
stay,uniform,stay_uniform,1535,15,0.009771986970684038,0.0016232575927415632,0.01818731975583044,0.0,0.16611336032388657,0.08078163787948417,13.533333333333333,3.1817934445544265,13.0,0.46527901084104656,714.2032816410065,0.25790868209294493,0.9543973941368078,0.3426650272494878,0.3427031409553142,0.0
random,uniform,random_uniform,1535,13,0.008469055374592834,0.0019422988927007706,0.022162032752772922,0.0,0.22934067694582172,0.07643595583890589,15.461538461538462,4.215356541175463,14.0,0.49460240823826496,759.2146966457367,0.1687769644135148,1.5478827361563519,0.3429329926209763,0.3432427330256049,0.0
