action_mode,belief_mode,config,grid_size,scenarios,success_rate,avg_convergence_rate,avg_convergence_step,avg_exec_time
greedy,bayesian,greedy_bayesian,10,484,0.743801652892562,0.3059893929474374,6.955555555555556,0.13905259991480298
greedy,bayesian,greedy_bayesian,12,498,0.7670682730923695,0.31827280305546946,7.924083769633508,0.26296527749563314
greedy,bayesian,greedy_bayesian,15,553,0.6799276672694394,0.28330289517420193,10.398936170212766,0.6924173681041862
greedy,optimal,greedy_optimal,10,484,0.6239669421487604,0.25657035863791355,6.470198675496689,0.06563104479766085
greedy,optimal,greedy_optimal,12,498,0.5341365461847389,0.2558880839028903,6.639097744360902,0.5244921125082606
greedy,optimal,greedy_optimal,15,553,0.5370705244122965,0.24377139763338557,8.956228956228957,0.24418174767795997
greedy,uniform,greedy_uniform,10,484,0.012396694214876033,0.004897459442913988,10.166666666666666,0.10304801917273149
greedy,uniform,greedy_uniform,12,498,0.004016064257028112,0.0006693440428380187,10.0,0.22586115536440807
greedy,uniform,greedy_uniform,15,553,0.0162748643761302,0.003109955144313191,19.444444444444443,0.564587208073566
stay,bayesian,stay_bayesian,10,484,0.506198347107438,0.22836107265918504,6.0,0.20438662934894405
stay,bayesian,stay_bayesian,12,498,0.42369477911646586,0.18289258732133654,7.0947867298578196,0.4241815551696532
stay,bayesian,stay_bayesian,15,553,0.28390596745027125,0.15234283184628752,7.038216560509555,4.91259076237463
stay,optimal,stay_optimal,10,484,0.4834710743801653,0.20179263176985976,6.1581196581196584,0.06381581341924743
stay,optimal,stay_optimal,12,498,0.3614457831325301,0.16304071886280103,6.688888888888889,0.1147313678120992
stay,optimal,stay_optimal,15,553,0.28028933092224234,0.15163050424401814,6.890322580645162,0.2080127334939636
stay,uniform,stay_uniform,10,484,0.02066115702479339,0.004149518742820178,12.6,0.1608945259377976
stay,uniform,stay_uniform,12,498,0.004016064257028112,0.0006693440428380187,10.0,0.3489507992104833
stay,uniform,stay_uniform,15,553,0.0054249547920434,0.00027124773960217005,19.0,0.8364427361307265
random,bayesian,random_bayesian,10,484,0.45454545454545453,0.19557413028616943,6.745454545454545,0.20312215424766225
random,bayesian,random_bayesian,12,498,0.39959839357429716,0.15423845889714483,8.055276381909549,0.4053586692695158
random,bayesian,random_bayesian,15,553,0.28028933092224234,0.13352842361963138,8.741935483870968,0.9639214852834912
random,optimal,random_optimal,10,484,0.4090909090909091,0.16144439328976085,6.904040404040404,0.05595721587661865
random,optimal,random_optimal,12,498,0.3473895582329317,0.1493523993666863,7.4508670520231215,0.1003650987004659
random,optimal,random_optimal,15,553,0.26582278481012656,0.12905458705506637,8.4421768707483,0.19789441757133167
random,uniform,random_uniform,10,484,0.010330578512396695,0.002430404523705959,15.8,0.16054618604912246
random,uniform,random_uniform,12,498,0.008032128514056224,0.0015798827493883581,14.75,0.4733709522997998
random,uniform,random_uniform,15,553,0.007233273056057866,0.0018414672723808248,15.75,0.8060969409632208
